Name	Industry	programStart
Ace Athletics	Sports Equipment	2022-05-15
AlphaAccessories	Accessory Subscription	2022-09-06
AlphaApparel	Clothing Retailer	2022-05-03
AlphaArt	Art Subscription Box	2022-05-09
Artisan Oven	Artisanal Bakery	2022-03-18
ArtisanArmor	Custom Jewelry	2022-03-24
Artistic Expressions	Art Supplies	2022-03-19
BetaBaking	Baking Subscription	2022-09-11
BetaBeauty	Beauty Product Subscription	2022-05-14
BitzBooks	Online Bookstore	2022-03-01
BitzBooks	Online Bookstore	2022-03-01
BloomBox Flowers	Flower Delivery	2022-03-22
Bountiful Books	Bookstore	2022-05-17
BravoBites	Meal Delivery Service	2022-05-05
Bright Beginnings	Child Care Services	2022-03-28
Brilliant Blooms	Floral Arrangements	2022-03-01
CharlieChargers	Phone Accessories	2022-05-07
Chic Chocolates	Chocolate Shop	2022-05-19
ChiCheese	Cheese Subscription	2022-08-22
ChiChocolates	Chocolate Subscription	2022-04-24
Creative Coding	Coding Education	2022-03-30
DeltaDecor	Home Decor Retailer	2022-05-09
DeltaDesigns	Home Decor Subscription	2022-05-24
DeltaDrinks	Drink Subscription	2022-09-21
Dynamic Drones	Drone Technology	2022-05-21
EchoEducation	Online Learning Platform	2022-05-11
Eco-Friendly Cleaning Solutions	Cleaning Services	2022-03-05
EcoEase Solutions	Eco-friendly Products	2022-03-23
Elegant Events	Event Planning	2022-04-01
EpsilonEco	Eco-Friendly Product Subscription	2022-09-26
EpsilonEducation	Online Learning Subscription	2022-05-29
Esteemed Education	Private School	2022-05-23
EtaEntertainment	Movie Ticket Subscription	2022-06-08
EtaEscapeRooms	Escape Room Subscription	2022-10-06
Fantastic Furnishings	Furniture Store	2022-05-25
FarmFresh	Organic Food Delivery	2022-03-07
Fashion Forward	Clothing Retail	2022-04-03
Fit For Life	Health and Fitness	2022-03-17
FitFam Fitness	Health and Fitness	2022-03-28
FitFusion	Fitness App	2022-03-26
FoxtrotFitness	Gym Chain	2022-05-13
GammaGames	Board Game Subscription	2022-05-19
GammaGardening	Gardening Subscription	2022-09-16
GigaBytes Tech	IT Services	2022-04-01
GigaGadgets	Electronics Retailer	2022-03-05
GigaGadgets	Electronics Retailer	2022-03-05
Glamorous Gaming	Video Game Store	2022-05-27
Global Goods	Fair Trade Imports	2022-04-05
GlowGuru	Skincare Products	2022-03-28
GolfGenius	Golf Equipment	2022-05-15
Gourmet Grub	Meal Delivery Service	2022-03-12
Green Thumb Gardening	Landscaping Services	2022-03-22
GreenGlow	Eco-friendly Cleaning Products	2022-03-14
Harmonious Homes	Interior Design	2022-05-29
Healthy Habits	Health and Wellness	2022-04-07
HomeHaven	Home Decor Subscription Box	2022-03-30
HotelHaven	Hotel Booking Platform	2022-05-17
Innovative Ideas	Creative Consulting	2022-04-09
InspireInnovations	Technology Incubator	2022-05-19
Inspiring Instruments	Musical Instrument Store	2022-05-31
IotaIceCream	Ice Cream Subscription	2022-06-18
IotaImprov	Improv Class Subscription	2022-10-16
Joyful Jewels	Jewelry Store	2022-06-02
Joyful Journeys	Travel Agency	2022-04-11
JunoJewelry	Fine Jewelry Retailer	2022-05-21
KaleidoscopeKids	Children's Clothing Retailer	2022-05-23
KappaKids	Children's Book Subscription	2022-06-23
KappaKnitting	Knitting Subscription	2022-10-21
KidKonnect	Educational Toys	2022-04-01
Knowledge Navigators	Tutoring Services	2022-04-13
Knowledgeable Knits	Yarn Store	2022-06-04
LambdaLanguages	Language Learning Subscription	2022-10-26
LambdaLiterature	Literary Magazine Subscription	2022-06-28
LuxeLashes	False Eyelashes	2022-04-03
LuxeLuggage	Luggage Retailer	2022-05-25
Luxurious Luggage	Luggage Store	2022-06-06
Luxury Living	Real Estate	2022-04-15
Marvelous Maps	Map Store	2022-06-08
MegaMovies	Streaming Service	2022-03-10
Mindful Meditation	Mental Health Services	2022-03-24
MindMeld	Team Collaboration Software	2022-03-18
MindMeld Therapy	Mental Health Services	2022-04-03
Motivational Mentors	Life Coaching	2022-04-17
MuMusic	Music Streaming Subscription	2022-07-03
MuMystery	Mystery Box Subscription	2022-11-01
MuseMusic	Music Streaming Service	2022-05-27
MysticMoods	Candles and Aromatherapy	2022-04-05
NanoNails	Nail Polish Subscription	2022-03-15
Natural Necessities	Organic Groceries	2022-04-19
NatureNook	Plant Subscription Box	2022-04-07
Novel Notions	Idea Lab	2022-06-10
NovelNotions	Innovative Products Retailer	2022-05-29
NuNotebooks	Notebook Subscription	2022-11-06
NuNutrition	Health Supplement Subscription	2022-07-08
OmegaOutdoors	Outdoor Gear Subscription	2022-05-04
OmegaOuterwear	Outerwear Subscription	2022-09-01
OmicronOrganics	Organic Produce Subscription	2022-07-18
Optimal Organics	Organic Farming	2022-06-12
Optimal Outcomes	Management Consulting	2022-04-21
OptimisticOutdoors	Outdoor Gear Retailer	2022-05-31
OptimumOptics	Eyewear	2022-04-09
Pet Palace	Pet Supplies	2022-03-07
PetPalace	Pet Supplies	2022-03-16
PhiFitness	Fitness App	2022-04-19
PhiPhotography	Photography App Subscription	2022-08-17
PicoPets	Pet Toy Subscription	2022-03-20
PioneerPhones	Cell Phone Retailer	2022-06-02
PiPizza	Pizza Subscription	2022-07-23
Precise Prints	Art Printing	2022-06-14
Premier Printing	Printing Services	2022-04-23
PremiumPens	Writing Instruments	2022-04-11
PsiPlants	Plant Subscription	2022-08-27
PsiSocks	Sock Subscription	2022-04-29
Quality Quilting	Quilting Supplies	2022-06-16
Quality Quilts	Home Decor	2022-04-25
QuantaCoffee	Coffee Subscription	2022-03-25
QuillQuotes	Inspirational Quotes Retailer	2022-06-04
QuirkyQuills Writing	Content Writing	2022-03-25
QuirkyQuilts	Quilt Subscription Box	2022-04-13
Radiant Robotics	Robotics Education	2022-06-18
RadiantReads	Book Club Subscription	2022-06-06
RadiantReady	Emergency Preparedness Kits	2022-04-15
Restful Retreats	Bed and Breakfast	2022-04-27
RhoRamen	Instant Noodle Subscription	2022-03-30
RhoRings	Jewelry Subscription	2022-07-28
SapphireStationery	Stationery Retailer	2022-06-08
Savvy Savers	Financial Planning	2022-03-26
SavvySocks	Sock Subscription	2022-04-17
Sensational Spices	Spice Shop	2022-06-20
SigmaShoes	Shoe Subscription	2022-04-04
SigmaSweets	Dessert Subscription	2022-08-02
SkyHigh Adventures	Adventure Tourism	2022-04-05
Smart Homes	Home Automation	2022-03-15
SmartSips	Coffee Subscription	2022-03-22
StyleSavvy	Fashion Subscription Box	2022-03-10
Sustainable Solutions	Environmental Consulting	2022-04-29
Talented Tailors	Clothing Alterations	2022-05-01
TauTea	Tea Subscription	2022-04-09
TauTies	Tie Subscription	2022-08-07
Tech Titans	Technology Consulting	2022-03-10
TechTonic	IT Consulting	2022-03-12
ThetaTech	Tech Gadget Subscription	2022-06-13
ThetaTheater	Theater Ticket Subscription	2022-10-11
Trendy Totes	Tote Bag Store	2022-06-22
TrendyTech	Consumer Electronics Retailer	2022-06-10
TrendyTees	T-Shirt Subscription Box	2022-04-19
Ultimate Universes	Science Fiction Bookstore	2022-06-24
Ultimate University	Online Education	2022-05-03
UltimateUniversity	Online Education Platform	2022-06-12
UltimateUtensils	Kitchen Tools	2022-04-21
UpsilonUndergarments	Undergarment Subscription	2022-08-12
UpsilonUnderwear	Underwear Subscription	2022-04-14
Vibrant Vases	Vase Store	2022-06-26
Vibrant Visions	Graphic Design	2022-05-05
VibrantVinyls	Record Subscription	2022-04-23
Virtuoso Virtual Assistants	Virtual Assistance	2022-03-27
VirtuosoViolins	Musical Instruments Retailer	2022-06-14
VitalVibes	Health and Wellness Supplements	2022-03-20
WholesomeWatches	Watch Retailer	2022-06-16
WholesomeWhisk	Baking Supplies	2022-04-25
Wise Watches	Watch Store	2022-06-28
Wise Words	Writing Services	2022-05-07
Xcellent Xeriscaping	Landscape Design	2022-05-09
Xceptional Xeroxing	Copy Center	2022-06-30
XiXylophoneOrchestra	Xylophone Orchestra Subscription	2022-11-11
XiXylophones	Musical Instrument Subscription	2022-07-13
XpressoXpress	Coffee Shop Chain	2022-06-18
XtremeXercise	Fitness Equipment	2022-04-27
YogaYonder	Yoga Apparel	2022-04-29
YogaYurt	Yoga Studio	2022-06-20
Youthful Yarns	Children's Bookstore	2022-07-02
Youthful Yogis	Yoga Studio	2022-05-11
Zen Zoology	Pet Adoption Services	2022-05-13
Zen Zumba	Dance Studio	2022-07-04
ZenZenith	Executive Coaching	2022-06-22
ZenZone	Meditation App	2022-05-01
ZetaZen	Meditation App Subscription	2022-06-03
ZetaZumba	Fitness Class Subscription	2022-10-01
ZipZap Deliveries	Food Delivery	2022-03-15